Hour,P L1 [MW],P L2 [MW],P L3 [MW],Q L1 [Mvar],Q L2 [Mvar],Q L3 [Mvar]
0,111.275,151.47826086956522,65.02222222222221,53.89294221583204,73.36427014152514,31.49169952790125
1,108.17500000000001,147.3521739130435,62.97777777777779,52.3915436908347,71.36591502199853,30.501529891343875
2,107.37500000000001,145.7695652173913,61.9111111111111,52.00408600696442,70.59942264738557,29.984919646183485
3,105.60000000000001,145.28913043478263,61.06666666666666,51.144414270877235,70.36673746223522,29.575936535431527
4,102.97500000000001,148.22826086956522,65.55555555555554,49.87306874567787,71.79022330080213,31.75000465048144
5,105.75,165.94782608695652,81.3111111111111,51.21706258660291,80.37220042370068,39.38076848003783
6,105.375,181.03913043478263,85.33333333333334,51.03544179728871,87.68125271018846,41.32881961283009
7,108.50000000000001,186.77608695652174,91.15555555555557,52.548948374907006,90.45978756816038,44.14865053433047
8,112.4,191.2413043478261,92.37777777777777,54.43780458377463,92.62239105367549,44.740599773576726
9,115.47499999999998,189.48913043478262,91.02222222222221,55.92709505615101,91.7737744960683,44.084074253685415
10,116.525,192.73913043478262,93.95555555555555,56.435633266230774,93.34782133679133,45.504752427876454
11,115.52500000000002,190.56304347826088,95.80000000000001,55.95131116139292,92.29389432169852,46.39805764346628
12,115.45,187.76521739130436,94.35555555555555,55.91498700353008,90.93884530229349,45.698481269811595
13,112.125,184.03478260869565,93.73333333333332,54.304616004944215,89.1321132764201,45.39712529346804
14,111.50000000000001,181.74565217391307,91.24444444444444,54.001914689420566,88.0234368059978,44.19170138809383
15,110.75000000000001,180.2478260869565,90.33333333333334,53.638673110792176,87.29800652288196,43.75043013701935
16,112.925,180.4739130434783,90.55555555555554,54.692073688814496,87.40750543354098,43.858057271427754
17,115.47499999999998,180.05,90.17777777777778,55.92709505615101,87.20219497605535,43.67509114293346
18,118.84999999999998,180.95434782608694,90.4,57.561682159978766,87.64019061869132,43.78271827734187
19,120.89999999999999,180.41739130434786,88.26666666666668,58.554542474896365,87.38013070587623,42.74949778702113
20,115.69999999999999,171.93913043478264,80.66666666666666,56.03606752973953,83.273921556164,39.06864979025343
21,125.59999999999998,173.38043478260872,83.95555555555555,60.83085636763427,83.97197711161508,40.66153137949793
22,125.70000000000002,169.50869565217394,81.95555555555555,60.87928857811807,82.09680826657983,39.69288716982222
23,119.02499999999999,158.1195652173913,74.24444444444444,57.6464385283254,76.58080064213306,35.95822560585034
24,113.27500000000002,149.10434782608695,69.28888888888889,54.86158642550776,72.21453157960572,33.55814050854276
25,111.92500000000001,145.26086956521738,66.46666666666667,54.20775158397665,70.35305009840283,32.19127590155593
26,111.1,143.90434782608693,65.13333333333333,53.80818584748541,69.69605663444888,31.54551309510546
27,111.24999999999999,143.5086956521739,64.48888888888888,53.88083416321109,69.50443354079565,31.233394405321064
28,114.40000000000002,149.6695652173913,68.95555555555555,55.40644879345034,72.48827885625319,33.39669980693014
29,129.29999999999998,167.6717391304348,85.64444444444445,62.62284815553433,81.2071296174755,41.47949760100186
30,138.77500000000003,178.77826086956523,96.6,67.211800098873,86.58626360359852,46.785515327336554
31,142.225,183.78043478260872,102.15555555555557,68.88271136056358,89.00892700192874,49.47619368754685
32,141.02500000000003,184.4304347826087,103.53333333333333,68.30152483475817,89.32373637007333,50.143481920879
33,139.7,182.0,102.44444444444446,67.65979804584799,88.14662308048916,49.616108962277785
34,140.5,180.78478260869565,100.26666666666668,68.04725572971829,87.55806643569707,48.56136304507535
35,138.72499999999997,178.46739130434784,100.3111111111111,67.18758399363108,86.43570260144242,48.58288847195703
36,138.05,178.43913043478264,95.95555555555555,66.86066657286555,86.42201523761004,46.473396637552156
37,134.3,174.25652173913045,93.37777777777777,65.0444586797236,84.39628539041867,45.22492187841458
38,132.60000000000002,171.96739130434784,91.04444444444445,64.22111110149926,83.28760891999637,44.09483696712627
39,131.25,168.91521739130437,90.19999999999999,63.567276259968146,81.80937362609997,43.685853856374294
40,130.75,168.8304347826087,90.88888888888889,63.32511520754922,81.76831153460284,44.01949797304037
41,129.0,169.73478260869567,90.84444444444443,62.477551524082976,82.20630717723881,43.997972546158685
42,129.89999999999998,171.26086956521738,92.3111111111111,62.91344141843703,82.945424824187,44.708311633254205
43,129.60000000000002,166.90869565217392,89.55555555555554,62.7681447869857,80.8375707940014,43.3737351665899
44,124.30000000000001,157.4695652173913,80.3111111111111,60.20123763134507,76.26599127398845,38.89644637519998
45,129.02500000000003,163.1782608695652,83.75555555555556,62.48965957670394,79.030838768128,40.56466695853036
46,126.7,163.48913043478262,82.75555555555556,61.363610682955915,79.18139977028414,40.08034485369251
47,115.74999999999999,152.83478260869566,76.4,56.060283634981424,74.0212636054791,37.002208809611936
