P load [MW],Hour
4.18,0
4.256,1
4.344000000000001,2
4.572000000000003,3
5.027999999999999,4
6.948,5
7.479999999999997,6
7.951999999999998,7
8.192,8
8.216000000000001,9
8.688000000000002,10
8.936,11
8.636000000000003,12
8.415999999999997,13
7.764000000000003,14
7.636000000000003,15
7.692,16
7.7520000000000024,17
7.399999999999999,18
6.020000000000003,19
4.856000000000002,20
6.0,21
5.4879999999999995,22
3.8800000000000026,23
2.6480000000000032,24
2.432000000000002,25
2.1199999999999974,26
2.1799999999999997,27
2.6599999999999966,28
5.244,29
6.844000000000001,30
7.799999999999997,31
8.252000000000002,32
8.351999999999997,33
8.415999999999997,34
8.472000000000001,35
8.155999999999999,36
7.671999999999997,37
7.408000000000001,38
7.340000000000003,39
7.304000000000002,40
7.460000000000001,41
7.828000000000003,42
7.844000000000001,43
6.631999999999998,44
7.188000000000002,45
6.723999999999997,46
5.0760000000000005,47
